N, block_size, cpu_time, gpu_time, cpu_sum, gpu_sum
100, 8, 0.000000, 140000.000000, 144746.296875, 144746.296875
100, 16, 0.000000, 0.000000, 144746.296875, 144746.296875
100, 32, 10000.000000, 0.000000, 144746.296875, 144746.296875
200, 8, 10000.000000, 0.000000, 289375.093750, 289375.093750
200, 16, 10000.000000, 0.000000, 289375.093750, 289375.093750
200, 32, 20000.000000, 0.000000, 289375.093750, 289375.093750
400, 8, 60000.000000, 0.000000, 578634.375000, 578634.375000
400, 16, 50000.000000, 10000.000000, 578634.375000, 578634.375000
400, 32, 60000.000000, 0.000000, 578634.375000, 578634.375000
800, 8, 270000.000000, 10000.000000, 1156788.375000, 1156788.375000
800, 16, 220000.000000, 0.000000, 1156788.375000, 1156788.375000
800, 32, 210000.000000, 20000.000000, 1156788.375000, 1156788.375000
1600, 8, 1100000.000000, 40000.000000, 2313764.000000, 2313764.000000
1600, 16, 890000.000000, 10000.000000, 2313764.000000, 2313764.000000
1600, 32, 870000.000000, 30000.000000, 2313764.000000, 2313764.000000
3200, 8, 4500000.000000, 120000.000000, 4623535.500000, 4623535.500000
3200, 16, 4500000.000000, 80000.000000, 4623535.500000, 4623535.500000
3200, 32, 4500000.000000, 100000.000000, 4623535.500000, 4623535.500000
6400, 8, 18780000.000000, 510000.000000, 9240881.000000, 9240881.000000
6400, 16, 18540000.000000, 360000.000000, 9240881.000000, 9240881.000000
6400, 32, 18180000.000000, 330000.000000, 9240881.000000, 9240881.000000
12800, 8, 72820000.000000, 1650000.000000, 18488710.000000, 18488710.000000
12800, 16, 73080000.000000, 1340000.000000, 18488710.000000, 18488710.000000
12800, 32, 74910000.000000, 1350000.000000, 18488710.000000, 18488710.000000
25600, 8, 293970000.000000, 0.000000, 37020468.000000, 8193150.000000
25600, 16, 293550000.000000, 0.000000, 37020468.000000, 8193150.000000
25600, 32, 292240000.000000, 0.000000, 37020468.000000, 8193150.000000

